nNo
1150
X0    X1   No   
0 0 0
1 0 1
1 1 2
0 1 3
0.09999999999981467 0 4
0.1999999999995579 0 5
0.2999999999992664 0 6
0.3999999999989749 0 7
0.4999999999986943 0 8
0.5999999999989468 0 9
0.69999999999921 0 10
0.7999999999994734 0 11
0.8999999999997368 0 12
0.03333333333327036 0 13
0.06666666666653219 0 14
0.1333333333330865 0 15
0.1666666666663222 0 16
0.233333333332794 0 17
0.2666666666660302 0 18
0.3333333333325026 0 19
0.3666666666657388 0 20
0.4333333333322147 0 21
0.4666666666654545 0 22
0.5333333333321117 0 23
0.5666666666655292 0 24
0.6333333333323679 0 25
0.6666666666657889 0 26
0.7333333333326312 0 27
0.7666666666660523 0 28
0.8333333333328945 0 29
0.8666666666663156 0 30
0.9333333333331578 0 31
0.9666666666665789 0 32
1 0.09999999999981467 33
1 0.1999999999995579 34
1 0.2999999999992664 35
1 0.3999999999989749 36
1 0.4999999999986943 37
1 0.5999999999989468 38
1 0.69999999999921 39
1 0.7999999999994734 40
1 0.8999999999997368 41
1 0.03333333333327036 42
1 0.06666666666653219 43
1 0.1333333333330865 44
1 0.1666666666663222 45
1 0.233333333332794 46
1 0.2666666666660302 47
1 0.3333333333325026 48
1 0.3666666666657388 49
1 0.4333333333322147 50
1 0.4666666666654545 51
1 0.5333333333321117 52
1 0.5666666666655292 53
1 0.6333333333323679 54
1 0.6666666666657889 55
1 0.7333333333326312 56
1 0.7666666666660523 57
1 0.8333333333328945 58
1 0.8666666666663156 59
1 0.9333333333331578 60
1 0.9666666666665789 61
0.8999999999995836 1 62
0.7999999999999998 1 63
0.7000000000006934 1 64
0.6000000000013869 1 65
0.5000000000020587 1 66
0.4000000000016644 1 67
0.3000000000012483 1 68
0.2000000000008322 1 69
0.100000000000416 1 70
0.9666666666665343 1 71
0.9333333333330616 1 72
0.8666666666663857 1 73
0.8333333333331903 1 74
0.7666666666669162 1 75
0.7333333333338092 1 76
0.6666666666676124 1 77
0.633333333334432 1 78
0.5666666666683309 1 79
0.5333333333351826 1 80
0.4666666666685939 1 81
0.4333333333351291 1 82
0.3666666666681924 1 83
0.3333333333347204 1 84
0.2666666666677763 1 85
0.2333333333343043 1 86
0.1666666666673601 1 87
0.133333333333888 1 88
0.06666666666694399 1 89
0.03333333333347199 1 90
0 0.8999999999995836 91
0 0.7999999999999998 92
0 0.7000000000006934 93
0 0.6000000000013869 94
0 0.5000000000020587 95
0 0.4000000000016644 96
0 0.3000000000012483 97
0 0.2000000000008322 98
0 0.100000000000416 99
0 0.9666666666665343 100
0 0.9333333333330616 101
0 0.8666666666663857 102
0 0.8333333333331903 103
0 0.7666666666669162 104
0 0.7333333333338092 105
0 0.6666666666676124 106
0 0.633333333334432 107
0 0.5666666666683309 108
0 0.5333333333351826 109
0 0.4666666666685939 110
0 0.4333333333351291 111
0 0.3666666666681924 112
0 0.3333333333347204 113
0 0.2666666666677763 114
0 0.2333333333343043 115
0 0.1666666666673601 116
0 0.133333333333888 117
0 0.06666666666694399 118
0 0.03333333333347199 119
0.5 0.5 120
0.7071428571428752 0.7071428571428401 121
0.292857142857163 0.7071428571428829 122
0.7071428571428393 0.2928571428571245 123
0.2928571428571166 0.2928571428571638 124
0.4931499629732459 0.7759084652632129 125
0.2240915347367899 0.4931499629732514 126
0.7759084652631878 0.5068500370267568 127
0.5068500370267515 0.224091534736815 128
0.829497354497414 0.8294973544973363 129
0.1705026455026733 0.8294973544974497 130
0.8294973544972866 0.1705026455025708 131
0.1705026455025349 0.1705026455027228 132
0.6407101126393269 0.8488660690838693 133
0.1511339309161314 0.6407101126393338 134
0.359205274631042 0.8481751902264412 135
